input_file,reason,message
dataset_12/uvl/embtoolkit.uvl,unsatisfiable_feature_model,Feature model is unsatisfiable and cannot be simplified
dataset_13/uvl/busybox_2010-05-02_14-17-07.uvl,input_model_load_error,"Multiple Errors occurred during parsing!
failed to parse at line 1:10 due to: token recognition error at: '_' (at 1:10)
failed to parse at line 3:1 due to: token recognition error at: '_' (at 3:1)"
dataset_14/uvl/2007-05-20_17-12-43.uvl,input_model_load_error,"Multiple Errors occurred during parsing!
failed to parse at line 1:10 due to: token recognition error at: '_' (at 1:10)
failed to parse at line 3:1 due to: token recognition error at: '_' (at 3:1)"
dataset_14/uvl/2007-06-01_14-40-03.uvl,input_model_load_error,"Multiple Errors occurred during parsing!
failed to parse at line 1:10 due to: token recognition error at: '_' (at 1:10)
failed to parse at line 3:1 due to: token recognition error at: '_' (at 3:1)"
dataset_14/uvl/2007-07-01_14-53-06.uvl,input_model_load_error,"Multiple Errors occurred during parsing!
failed to parse at line 1:10 due to: token recognition error at: '_' (at 1:10)
failed to parse at line 3:1 due to: token recognition error at: '_' (at 3:1)"
dataset_14/uvl/2007-08-01_23-30-54.uvl,input_model_load_error,"Multiple Errors occurred during parsing!
failed to parse at line 1:10 due to: token recognition error at: '_' (at 1:10)
failed to parse at line 3:1 due to: token recognition error at: '_' (at 3:1)"
dataset_14/uvl/2007-09-02_14-51-54.uvl,input_model_load_error,"Multiple Errors occurred during parsing!
failed to parse at line 1:10 due to: token recognition error at: '_' (at 1:10)
failed to parse at line 3:1 due to: token recognition error at: '_' (at 3:1)"
dataset_14/uvl/2007-10-01_09-59-01.uvl,input_model_load_error,"Multiple Errors occurred during parsing!
failed to parse at line 1:10 due to: token recognition error at: '_' (at 1:10)
failed to parse at line 3:1 due to: token recognition error at: '_' (at 3:1)"
dataset_14/uvl/2007-11-02_23-31-10.uvl,input_model_load_error,"Multiple Errors occurred during parsing!
failed to parse at line 1:10 due to: token recognition error at: '_' (at 1:10)
failed to parse at line 3:1 due to: token recognition error at: '_' (at 3:1)"
dataset_14/uvl/2007-12-02_01-43-18.uvl,input_model_load_error,"Multiple Errors occurred during parsing!
failed to parse at line 1:10 due to: token recognition error at: '_' (at 1:10)
failed to parse at line 3:1 due to: token recognition error at: '_' (at 3:1)"
