input_file,output_file,original_features,simplified_features,feature_reduction_ratio,original_constraints,simplified_constraints,constraint_reduction_ratio,removed_core_features,removed_dead_features,removed_atomic_set_features,full_reduction
dataset_20/uvl/model_20091205_755658379.uvl,dataset_20/uvl/model_20091205_755658379.uvl,94,48,0.489362,2,32,-15,36,0,10,FALSE
dataset_20/uvl/model_20091206_1647557456.uvl,dataset_20/uvl/model_20091206_1647557456.uvl,10,9,0.1,0,1,0,1,0,0,FALSE
dataset_20/uvl/model_20091210_241985787.uvl,dataset_20/uvl/model_20091210_241985787.uvl,16,15,0.0625,0,1,0,1,0,0,FALSE
dataset_20/uvl/model_20091210_993249741.uvl,dataset_20/uvl/model_20091210_993249741.uvl,29,21,0.275862,0,0,0,7,0,1,FALSE
dataset_20/uvl/model_20091219_494647199.uvl,dataset_20/uvl/model_20091219_494647199.uvl,11,6,0.454545,0,0,0,5,0,0,FALSE
dataset_20/uvl/model_20091225_1547989376.uvl,dataset_20/uvl/model_20091225_1547989376.uvl,29,24,0.172414,2,2,0,3,0,2,FALSE
dataset_20/uvl/model_20100106_985255768.uvl,dataset_20/uvl/model_20100106_985255768.uvl,20,14,0.3,0,7,0,3,0,3,FALSE
dataset_20/uvl/model_20100213_206550190.uvl,dataset_20/uvl/model_20100213_206550190.uvl,38,21,0.447368,8,19,-1.375,11,1,5,FALSE
dataset_20/uvl/model_20100216_713947806.uvl,dataset_20/uvl/model_20100216_713947806.uvl,12,4,0.666667,0,0,0,8,0,0,FALSE
dataset_20/uvl/model_20100308_1032655961.uvl,dataset_20/uvl/model_20100308_1032655961.uvl,15,10,0.333333,2,3,-0.5,5,0,0,FALSE
dataset_20/uvl/model_20100308_1355834007.uvl,dataset_20/uvl/model_20100308_1355834007.uvl,20,20,0,0,0,0,0,0,0,FALSE
dataset_20/uvl/model_20100321_1548012375.uvl,dataset_20/uvl/model_20100321_1548012375.uvl,18,15,0.166667,0,0,0,3,0,0,FALSE
dataset_20/uvl/model_20100322_955726153.uvl,dataset_20/uvl/model_20100322_955726153.uvl,20,10,0.5,1,2,-1,7,0,3,FALSE
dataset_20/uvl/model_20100324_1996898492.uvl,dataset_20/uvl/model_20100324_1996898492.uvl,11,3,0.727273,3,0,1,7,1,0,TRUE
dataset_20/uvl/model_20100325_298677687.uvl,dataset_20/uvl/model_20100325_298677687.uvl,10,8,0.2,0,0,0,2,0,0,FALSE
dataset_20/uvl/model_20100326_770562654.uvl,dataset_20/uvl/model_20100326_770562654.uvl,27,22,0.185185,2,10,-4,5,0,0,FALSE
dataset_20/uvl/model_20100412_337845737.uvl,dataset_20/uvl/model_20100412_337845737.uvl,10,1,0.9,0,0,0,9,0,0,FALSE
dataset_20/uvl/model_20100415_240595643.uvl,dataset_20/uvl/model_20100415_240595643.uvl,31,23,0.258065,2,7,-2.5,6,0,2,FALSE
dataset_20/uvl/model_20100415_947132043.uvl,dataset_20/uvl/model_20100415_947132043.uvl,31,24,0.225806,7,12,-0.714286,5,0,2,FALSE
dataset_20/uvl/model_20100416_811483774.uvl,dataset_20/uvl/model_20100416_811483774.uvl,16,15,0.0625,0,4,0,0,0,1,FALSE
dataset_20/uvl/model_20100529_1010171189.uvl,dataset_20/uvl/model_20100529_1010171189.uvl,22,16,0.272727,0,5,0,5,0,1,FALSE
dataset_20/uvl/model_20100607_746327867.uvl,dataset_20/uvl/model_20100607_746327867.uvl,20,14,0.3,0,5,0,4,0,2,FALSE
