term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome
(Intercept),0.3718247373897374,0.024254339753750635,15.330235379103211,2.003801109297716e-49,0.32424912145723034,0.4194003533222445,Feature reduction ratio
log1p(original_features),0.006521555754679609,0.00818085114499806,0.7971732572920632,0.42547524725323793,-0.009525429487013157,0.022568540996372375,Feature reduction ratio
log1p(original_constraints),-0.0012615909449113466,0.005231820265058695,-0.24113805157585874,0.8094807302232983,-0.01152396353824692,0.009000781648424225,Feature reduction ratio
(Intercept),-0.49138192488824345,0.36060890437039445,-1.3626450121806402,0.17319679777149968,-1.1987271220921818,0.21596327231569495,Constraint reduction ratio
log1p(original_features),-0.1007201757129598,0.12163133683153929,-0.8280775196317897,0.40775693835332727,-0.33930369623777135,0.13786334481185175,Constraint reduction ratio
log1p(original_constraints),-0.053110523470341876,0.0777857073332164,-0.6827799770827871,0.49485020359327714,-0.20568952478293112,0.09946847784224738,Constraint reduction ratio
