x,y,sample_size,rho,p_value,p_value_bh
original_features,feature_reduction_ratio,1519,-0.013530192232879129,0.5982488228837644,0.5982488228837644
original_constraints,constraint_reduction_ratio,1519,-0.49273980801492256,1.005471563670324e-93,3.519150472846134e-93
original_features,original_constraints,1519,0.43110970692607475,8.761831890831735e-70,2.0444274411940716e-69
feature_reduction_ratio,constraint_reduction_ratio,1519,0.20794394323083074,2.6678794974574127e-16,3.7350312964403774e-16
removed_core_features,feature_reduction_ratio,1519,0.5869738113952501,2.473884784702045e-141,1.7317193492914316e-140
removed_dead_features,feature_reduction_ratio,1519,0.15691842992097813,7.802783053083178e-10,9.103246895263709e-10
removed_atomic_set_features,feature_reduction_ratio,1519,0.24306469450365478,7.2573938881643825e-22,1.270043930428767e-21
