input_file,original_features,simplified_features,feature_reduction_ratio,original_constraints,simplified_constraints,constraint_reduction_ratio
dataset_20/uvl/model_20131129_2135897376.uvl,10,8,0.2,2,7,-2.5
dataset_20/uvl/model_20131203_151571988.uvl,54,18,0.666667,1,8,-7
dataset_20/uvl/model_20131206_684654596.uvl,12,9,0.25,2,7,-2.5
dataset_20/uvl/model_20131210_413521746.uvl,13,9,0.307692,3,7,-1.333333
dataset_20/uvl/model_20140205_954857783.uvl,11,10,0.090909,2,7,-2.5
dataset_20/uvl/model_20140209_1382642350.uvl,41,30,0.268293,7,53,-6.571429
dataset_20/uvl/model_20140209_1802656178.uvl,26,13,0.5,4,18,-3.5
dataset_20/uvl/model_20140209_34267674.uvl,44,29,0.340909,14,35,-1.5
dataset_20/uvl/model_20140225_1829795152.uvl,14,11,0.214286,1,6,-5
dataset_20/uvl/model_20140305_1485634182.uvl,28,26,0.071429,3,8,-1.666667
dataset_20/uvl/model_20140305_1745306436.uvl,20,13,0.35,1,20,-19
dataset_20/uvl/model_20140326_1693773444.uvl,13,9,0.307692,3,9,-2
dataset_20/uvl/model_20140420_1899694432.uvl,55,52,0.054545,3,10,-2.333333
dataset_20/uvl/model_20140422_2137156564.uvl,35,23,0.342857,3,11,-2.666667
dataset_20/uvl/model_20140423_1890396897.uvl,36,24,0.333333,3,11,-2.666667
dataset_20/uvl/model_20140423_813378270.uvl,48,33,0.3125,2,14,-6
dataset_20/uvl/model_20140423_969548559.uvl,49,32,0.346939,1,4,-3
dataset_20/uvl/model_20140425_366530615.uvl,11,7,0.363636,1,5,-4
dataset_20/uvl/model_20140427_1594857347.uvl,19,10,0.473684,5,0,1
dataset_20/uvl/model_20140428_1043688075.uvl,56,38,0.321429,1,6,-5
dataset_20/uvl/model_20140428_1127346099.uvl,72,52,0.277778,1,5,-4
dataset_20/uvl/model_20140428_1301432646.uvl,72,52,0.277778,1,5,-4
dataset_20/uvl/model_20140428_1917957920.uvl,63,44,0.301587,1,4,-3
dataset_20/uvl/model_20140430_1532303117.uvl,32,22,0.3125,1,12,-11
dataset_20/uvl/model_20140503_110898123.uvl,16,13,0.1875,2,7,-2.5
dataset_20/uvl/model_20140710_2059561340.uvl,33,22,0.333333,4,10,-1.5
dataset_20/uvl/model_20140819_709073537.uvl,43,14,0.674419,1,0,1
dataset_20/uvl/model_20140823_1972464026.uvl,35,14,0.6,3,0,1
dataset_20/uvl/model_20140825_2017008690.uvl,58,22,0.62069,1,3,-2
dataset_20/uvl/model_20141030_1477913256.uvl,12,4,0.666667,1,0,1
dataset_20/uvl/model_20141103_771283347.uvl,10,8,0.2,3,8,-1.666667
dataset_20/uvl/model_20141107_655975442.uvl,10,8,0.2,1,6,-5
dataset_20/uvl/model_20141113_346832425.uvl,56,51,0.089286,5,13,-1.6
dataset_20/uvl/model_20141129_1031364.uvl,12,9,0.25,2,5,-1.5
dataset_20/uvl/model_20141129_1168519534.uvl,12,9,0.25,2,8,-3
dataset_20/uvl/model_20141129_1642511009.uvl,34,28,0.176471,14,43,-2.071429
dataset_20/uvl/model_20141129_2117240468.uvl,12,9,0.25,2,5,-1.5
dataset_20/uvl/model_20141129_264528063.uvl,13,10,0.230769,1,4,-3
dataset_20/uvl/model_20141129_6569546.uvl,25,18,0.28,1,13,-12
dataset_20/uvl/model_20141202_104116345.uvl,10,8,0.2,2,7,-2.5
dataset_20/uvl/model_20150114_50814742.uvl,33,21,0.363636,11,29,-1.636364
dataset_20/uvl/model_20150208_1225865238.uvl,42,28,0.333333,13,58,-3.461538
dataset_20/uvl/model_20150208_2120373387.uvl,25,16,0.36,5,23,-3.6
