input_file,output_file,original_features,simplified_features,feature_reduction_ratio,original_constraints,simplified_constraints,constraint_reduction_ratio,removed_core_features,removed_dead_features,removed_atomic_set_features,full_reduction
dataset_11/uvl/integrator_arm7.uvl,dataset_11/uvl/integrator_arm7.uvl,1272,660,0.481132,904,1423,-0.574115,42,50,520,FALSE
dataset_11/uvl/integrator_arm9.uvl,dataset_11/uvl/integrator_arm9.uvl,1281,663,0.482436,907,1500,-0.653804,42,54,522,FALSE
dataset_11/uvl/ipaq.uvl,dataset_11/uvl/ipaq.uvl,1271,634,0.50118,921,1026,-0.114007,42,74,521,FALSE
dataset_11/uvl/iq80310.uvl,dataset_11/uvl/iq80310.uvl,1271,655,0.484658,897,1304,-0.453735,42,48,526,FALSE
dataset_11/uvl/iq80321.uvl,dataset_11/uvl/iq80321.uvl,1269,653,0.485422,898,1414,-0.57461,42,48,526,FALSE
dataset_11/uvl/ixdp425.uvl,dataset_11/uvl/ixdp425.uvl,1260,651,0.483333,886,1387,-0.565463,42,50,517,FALSE
dataset_11/uvl/jmr3904.uvl,dataset_11/uvl/jmr3904.uvl,1212,620,0.488449,843,1278,-0.516014,4,57,531,FALSE
dataset_11/uvl/jtst.uvl,dataset_11/uvl/jtst.uvl,1254,634,0.494418,891,1114,-0.250281,42,60,518,FALSE
dataset_11/uvl/linux.uvl,dataset_11/uvl/linux.uvl,1245,629,0.494779,859,1433,-0.668219,4,68,544,FALSE
dataset_11/uvl/lpcmt.uvl,dataset_11/uvl/lpcmt.uvl,1262,637,0.495246,882,1107,-0.255102,42,60,523,FALSE
dataset_11/uvl/m5272c3.uvl,dataset_11/uvl/m5272c3.uvl,1336,707,0.470808,877,1289,-0.469783,4,50,575,FALSE
dataset_11/uvl/mac7100evb.uvl,dataset_11/uvl/mac7100evb.uvl,1247,628,0.496391,867,1486,-0.713956,42,60,517,FALSE
dataset_11/uvl/mace1.uvl,dataset_11/uvl/mace1.uvl,1247,628,0.496391,867,1486,-0.713956,42,60,517,FALSE
dataset_11/uvl/malta_mips32_4kc.uvl,dataset_11/uvl/malta_mips32_4kc.uvl,1245,644,0.482731,865,1287,-0.487861,3,47,551,FALSE
dataset_11/uvl/malta_mips64_5kc.uvl,dataset_11/uvl/malta_mips64_5kc.uvl,1245,644,0.482731,865,1216,-0.40578,4,47,550,FALSE
dataset_11/uvl/mb93091.uvl,dataset_11/uvl/mb93091.uvl,1263,664,0.474268,876,1415,-0.615297,4,46,549,FALSE
dataset_11/uvl/mb93093.uvl,dataset_11/uvl/mb93093.uvl,1243,655,0.473049,859,1221,-0.42142,4,43,541,FALSE
dataset_11/uvl/mbx.uvl,dataset_11/uvl/mbx.uvl,1308,667,0.490061,889,1317,-0.48144,4,44,593,FALSE
dataset_11/uvl/mcb2100.uvl,dataset_11/uvl/mcb2100.uvl,1262,637,0.495246,882,1132,-0.283447,42,60,523,FALSE
dataset_11/uvl/moab.uvl,dataset_11/uvl/moab.uvl,1291,661,0.487994,917,1345,-0.466739,4,48,578,FALSE
dataset_11/uvl/mpc50.uvl,dataset_11/uvl/mpc50.uvl,1226,623,0.491843,863,1391,-0.611819,45,60,498,FALSE
dataset_11/uvl/nano.uvl,dataset_11/uvl/nano.uvl,1278,657,0.485915,911,1379,-0.513721,42,39,540,FALSE
dataset_11/uvl/npwr.uvl,dataset_11/uvl/npwr.uvl,1271,655,0.484658,898,1081,-0.203786,42,48,526,FALSE
dataset_11/uvl/ocelot.uvl,dataset_11/uvl/ocelot.uvl,1279,675,0.472244,872,1450,-0.662844,3,54,547,FALSE
dataset_11/uvl/olpce2294.uvl,dataset_11/uvl/olpce2294.uvl,1287,651,0.494172,904,1249,-0.381637,42,47,547,FALSE
dataset_11/uvl/olpch2294.uvl,dataset_11/uvl/olpch2294.uvl,1274,641,0.49686,890,1357,-0.524719,42,60,531,FALSE
dataset_11/uvl/olpcl2294.uvl,dataset_11/uvl/olpcl2294.uvl,1286,653,0.492224,902,1177,-0.304878,42,47,544,FALSE
dataset_11/uvl/p2106.uvl,dataset_11/uvl/p2106.uvl,1262,637,0.495246,882,1107,-0.255102,42,60,523,FALSE
dataset_11/uvl/pati.uvl,dataset_11/uvl/pati.uvl,1261,641,0.491673,866,1033,-0.192841,4,55,561,FALSE
dataset_11/uvl/pc_i82544.uvl,dataset_11/uvl/pc_i82544.uvl,1272,656,0.484277,885,1202,-0.358192,4,45,567,FALSE
dataset_11/uvl/pc_i82559.uvl,dataset_11/uvl/pc_i82559.uvl,1272,656,0.484277,885,1202,-0.358192,4,45,567,FALSE
dataset_11/uvl/pc_rltk8139.uvl,dataset_11/uvl/pc_rltk8139.uvl,1270,658,0.48189,886,1538,-0.735892,4,34,574,FALSE
dataset_11/uvl/pc_usb_d12.uvl,dataset_11/uvl/pc_usb_d12.uvl,1294,666,0.485317,910,1428,-0.569231,4,59,565,FALSE
dataset_11/uvl/pc_vmWare.uvl,dataset_11/uvl/pc_vmWare.uvl,1268,650,0.487382,884,1337,-0.512443,4,45,569,FALSE
dataset_11/uvl/phycore.uvl,dataset_11/uvl/phycore.uvl,1287,666,0.482517,892,1454,-0.630045,42,60,519,FALSE
dataset_11/uvl/phycore229x.uvl,dataset_11/uvl/phycore229x.uvl,1373,664,0.516387,932,1193,-0.280043,42,150,517,FALSE
dataset_11/uvl/picasso.uvl,dataset_11/uvl/picasso.uvl,1261,642,0.49088,899,1353,-0.505006,42,58,519,FALSE
dataset_11/uvl/pid.uvl,dataset_11/uvl/pid.uvl,1242,634,0.489533,891,1088,-0.2211,42,62,504,FALSE
dataset_11/uvl/prpmc1100.uvl,dataset_11/uvl/prpmc1100.uvl,1236,633,0.487864,875,1299,-0.484571,42,61,500,FALSE
dataset_11/uvl/psim.uvl,dataset_11/uvl/psim.uvl,1194,613,0.4866,826,1264,-0.530266,4,53,524,FALSE
dataset_11/uvl/rattler.uvl,dataset_11/uvl/rattler.uvl,1324,688,0.480363,894,1110,-0.241611,4,30,602,FALSE
dataset_11/uvl/ref4955.uvl,dataset_11/uvl/ref4955.uvl,1231,631,0.487409,862,983,-0.140371,3,58,539,FALSE
dataset_11/uvl/refidt334.uvl,dataset_11/uvl/refidt334.uvl,1276,676,0.470219,870,1390,-0.597701,4,34,562,FALSE
dataset_11/uvl/sa1100mm.uvl,dataset_11/uvl/sa1100mm.uvl,1235,626,0.493117,878,1223,-0.392938,42,60,507,FALSE
dataset_11/uvl/sam7ex256.uvl,dataset_11/uvl/sam7ex256.uvl,1345,673,0.499628,935,1111,-0.188235,42,80,550,FALSE
dataset_11/uvl/se7751.uvl,dataset_11/uvl/se7751.uvl,1309,676,0.483575,883,1619,-0.833522,3,61,569,FALSE
dataset_11/uvl/se77x9.uvl,dataset_11/uvl/se77x9.uvl,1333,687,0.484621,911,1309,-0.436883,3,72,571,FALSE
dataset_11/uvl/sh4_202_md.uvl,dataset_11/uvl/sh4_202_md.uvl,1272,649,0.48978,885,1514,-0.710734,3,52,568,FALSE
dataset_11/uvl/sh7708.uvl,dataset_11/uvl/sh7708.uvl,1267,626,0.505919,876,1191,-0.359589,3,103,535,FALSE
dataset_11/uvl/skmb91302.uvl,dataset_11/uvl/skmb91302.uvl,1230,644,0.476423,840,1312,-0.561905,4,53,529,FALSE
dataset_11/uvl/sleb.uvl,dataset_11/uvl/sleb.uvl,1201,612,0.490425,827,1241,-0.500605,4,52,533,FALSE
dataset_11/uvl/smdk2410.uvl,dataset_11/uvl/smdk2410.uvl,1279,662,0.482408,884,1283,-0.451357,42,64,511,FALSE
dataset_11/uvl/snds.uvl,dataset_11/uvl/snds.uvl,1231,629,0.489033,872,1263,-0.448394,42,53,507,FALSE
dataset_11/uvl/sparc_erc32.uvl,dataset_11/uvl/sparc_erc32.uvl,1181,603,0.489416,816,1216,-0.490196,4,52,522,FALSE
dataset_11/uvl/sparc_leon.uvl,dataset_11/uvl/sparc_leon.uvl,1181,603,0.489416,816,1216,-0.490196,4,52,522,FALSE
dataset_11/uvl/sparclite_sim.uvl,dataset_11/uvl/sparclite_sim.uvl,1181,603,0.489416,816,1216,-0.490196,4,52,522,FALSE
dataset_11/uvl/stb.uvl,dataset_11/uvl/stb.uvl,1265,658,0.479842,860,1247,-0.45,4,55,548,FALSE
dataset_11/uvl/stdeval1.uvl,dataset_11/uvl/stdeval1.uvl,1203,615,0.488778,844,1235,-0.46327,4,52,532,FALSE
dataset_11/uvl/stm3210e_eval.uvl,dataset_11/uvl/stm3210e_eval.uvl,1283,635,0.505066,873,1242,-0.42268,4,55,589,FALSE
dataset_11/uvl/ts1000.uvl,dataset_11/uvl/ts1000.uvl,1310,669,0.489313,886,1398,-0.577878,4,42,595,FALSE
dataset_11/uvl/ts6.uvl,dataset_11/uvl/ts6.uvl,1253,645,0.485235,865,1393,-0.610405,4,39,565,FALSE
dataset_11/uvl/tx39_sim.uvl,dataset_11/uvl/tx39_sim.uvl,1192,609,0.489094,822,1230,-0.49635,3,58,522,FALSE
dataset_11/uvl/uE250.uvl,dataset_11/uvl/uE250.uvl,1262,643,0.490491,900,1152,-0.28,42,58,519,FALSE
dataset_11/uvl/vads.uvl,dataset_11/uvl/vads.uvl,1253,645,0.485235,865,1393,-0.610405,4,39,565,FALSE
dataset_11/uvl/viper.uvl,dataset_11/uvl/viper.uvl,1314,669,0.490868,894,1252,-0.400447,4,44,597,FALSE
dataset_11/uvl/vrc4373.uvl,dataset_11/uvl/vrc4373.uvl,1260,659,0.476984,860,1355,-0.575581,4,59,538,FALSE
dataset_11/uvl/vrc4375.uvl,dataset_11/uvl/vrc4375.uvl,1271,670,0.472856,870,1344,-0.544828,4,45,552,FALSE
dataset_12/uvl/uClinux-distribution.uvl,dataset_12/uvl/uClinux-distribution.uvl,1580,1504,0.048101,197,1350,-5.852792,7,6,63,FALSE
dataset_48/uvl/ea2468.uvl,dataset_48/uvl/ea2468.uvl,1408,630,0.552557,1281,1089,0.149883,3,149,626,TRUE
dataset_49/uvl/ea2468.uvl,dataset_49/uvl/ea2468.uvl,1408,630,0.552557,1281,1089,0.149883,3,149,626,TRUE
