metric,count,missing,mean,standard_deviation,minimum,q1,median,q3,maximum
constraint_reduction_ratio,1519,0,-0.9178316866359447,3.204595037917921,-57,-0.504884,0,0,1
feature_reduction_ratio,1519,0,0.3933489183673469,0.21511326432208133,0,0.230769,0.384615,0.529412,0.979592
original_constraints,1519,0,84.33838051349572,275.46199314174584,0,0,1,5,3455
original_features,1519,0,135.42593811718237,343.9504527946246,3,14,24,43,2513
removed_atomic_set_features,1519,0,45.514812376563526,144.1866960049475,0,0,1,4,626
removed_core_features,1519,0,9.052666227781435,10.614945423244382,0,3,6,11,118
removed_dead_features,1519,0,5.150757077024358,18.132808192814995,0,0,0,0,185
simplified_constraints,1519,0,142.2198815009875,458.4782244758883,0,1,4,15,6465
simplified_features,1519,0,75.70770243581303,185.85755064122824,1,8,14,29,1713
